Barcode,Cluster
cell_372,5
cell_373,19
cell_374,9
cell_375,2
cell_376,19
cell_377,2
cell_378,18
cell_379,10
cell_380,2
cell_381,5
cell_382,25
cell_383,3
cell_384,4
cell_385,29
cell_386,2
cell_387,24
cell_388,19
cell_389,2
cell_390,3
cell_391,14
cell_392,7
cell_393,2
cell_394,3
cell_395,9
cell_396,8
cell_397,37
cell_398,7
cell_399,2
cell_400,7
cell_401,37
cell_402,2
cell_403,2
cell_404,22
cell_405,14
cell_406,12
cell_407,12
cell_408,2
cell_409,31
cell_410,21
cell_411,35
cell_412,2
cell_413,2
cell_414,2
cell_415,19
cell_416,2
cell_417,31
cell_418,2
cell_419,3
cell_420,31
cell_421,11
cell_422,4
cell_423,2
cell_424,2
cell_425,8
cell_426,5
cell_427,26
cell_428,13
cell_429,7
cell_430,24
cell_431,18
cell_432,32
cell_433,2
cell_434,10
cell_435,3
cell_436,21
cell_437,2
cell_438,25
cell_439,1
cell_440,1
cell_441,1
cell_442,1
cell_443,33
cell_444,2
cell_445,2
cell_446,3
cell_447,25
cell_448,7
cell_449,2
cell_450,21
cell_451,2
cell_452,13
cell_453,3
cell_454,5
cell_455,2
cell_456,2
cell_457,3
cell_458,24
cell_459,2
cell_460,7
cell_461,2
cell_462,2
cell_463,1
cell_464,22
cell_465,1
cell_466,8
cell_467,7
cell_468,20
cell_469,2
cell_470,6
cell_471,7
cell_472,15
cell_473,2
cell_474,35
cell_475,7
cell_476,7
cell_477,14
cell_478,23
cell_479,2
cell_480,8
cell_481,2
cell_482,8
cell_483,8
cell_484,8
cell_485,8
cell_486,18
cell_487,39
cell_488,1
cell_489,34
cell_490,2
cell_491,21
cell_492,3
cell_493,7
cell_494,15
cell_495,24
cell_496,2
cell_497,25
cell_498,2
cell_499,7
cell_500,6
cell_501,2
cell_502,2
cell_503,7
cell_504,19
cell_505,35
cell_506,7
cell_507,19
cell_508,2
cell_509,10
cell_510,2
cell_511,13
cell_512,2
cell_513,4
cell_514,35
cell_515,20
cell_516,21
cell_517,7
cell_518,10
cell_519,2
cell_520,8
cell_521,28
cell_522,2
cell_523,5
cell_524,10
cell_525,7
cell_526,14
cell_527,2
cell_528,2
cell_529,2
cell_530,7
cell_531,3
cell_532,2
cell_533,1
cell_534,2
cell_535,9
cell_536,6
cell_537,2
cell_538,2
cell_539,35
cell_540,13
cell_541,13
cell_542,2
cell_543,10
cell_544,3
cell_545,10
cell_546,2
cell_547,2
cell_548,22
cell_549,7
cell_550,7
cell_551,14
cell_552,22
cell_553,14
cell_554,1
cell_555,22
cell_556,3
cell_557,13
cell_558,2
cell_559,31
cell_560,32
cell_561,7
cell_562,2
cell_563,1
cell_564,8
cell_565,2
cell_566,10
cell_567,22
cell_568,8
cell_569,18
cell_570,27
cell_571,2
cell_572,24
cell_573,35
cell_574,21
cell_575,3
cell_576,3
cell_577,3
cell_578,7
cell_579,2
cell_580,5
cell_581,2
cell_582,12
cell_583,6
cell_584,1
cell_585,2
cell_586,7
cell_587,7
cell_588,22
cell_589,3
cell_590,7
cell_591,22
cell_592,7
cell_593,8
cell_594,10
cell_595,2
cell_596,1
cell_597,2
cell_598,2
cell_599,3
cell_600,6
cell_601,6
cell_602,33
cell_603,3
cell_604,35
cell_605,2
cell_606,27
cell_607,14
cell_608,7
cell_609,2
cell_610,21
cell_611,10
cell_612,14
cell_613,27
cell_614,2
cell_615,2
cell_616,2
cell_617,23
cell_618,23
cell_619,23
cell_620,23
cell_621,23
cell_622,5
cell_623,26
cell_624,2
cell_625,3
cell_626,2
cell_627,10
cell_628,21
cell_629,13
cell_630,24
cell_631,2
cell_632,17
cell_633,2
cell_634,2
cell_635,16
cell_636,35
cell_637,34
cell_638,2
cell_639,4
cell_640,24
cell_641,10
cell_642,1
cell_643,25
cell_644,15
cell_645,2
cell_646,10
cell_647,3
cell_648,10
cell_649,3
cell_650,32
cell_651,19
cell_652,34
cell_653,14
cell_654,3
cell_655,2
cell_656,7
cell_657,10
cell_658,33
cell_659,2
cell_660,35
cell_661,1
cell_662,7
cell_663,2
cell_664,21
cell_665,7
cell_666,6
cell_667,29
cell_668,2
cell_669,3
cell_670,27
cell_671,2
cell_672,12
cell_673,3
cell_674,6
cell_675,7
cell_676,10
cell_677,2
cell_678,14
cell_679,23
cell_680,23
cell_681,23
cell_682,31
cell_683,22
cell_684,6
cell_685,25
cell_686,4
cell_687,2
cell_688,2
cell_689,31
cell_690,2
cell_691,31
cell_692,2
cell_693,7
cell_694,16
cell_695,7
cell_696,7
cell_697,2
cell_698,2
cell_699,3
cell_700,5
cell_701,3
cell_702,7
cell_703,2
cell_704,18
cell_705,2
cell_706,2
cell_707,3
cell_708,2
cell_709,3
cell_710,2
cell_711,2
cell_712,3
cell_713,2
cell_714,27
cell_715,26
cell_716,2
cell_717,2
cell_718,7
cell_719,22
cell_720,19
cell_721,25
cell_722,7
cell_723,24
cell_724,3
cell_725,22
cell_726,35
cell_727,7
cell_728,2
cell_729,7
cell_730,2
cell_731,2
cell_732,2
cell_733,4
cell_734,10
cell_735,2
cell_736,2
cell_737,2
cell_738,2
cell_739,7
cell_740,2
cell_741,1
cell_742,25
cell_743,7
cell_744,14
cell_745,2
cell_746,8
cell_747,7
cell_748,10
cell_749,19
cell_750,3
cell_751,3
cell_752,7
cell_753,2
cell_754,7
cell_755,1
cell_756,17
cell_757,16
cell_758,13
cell_759,1
cell_760,2
cell_761,20
cell_762,4
cell_763,2
cell_764,2
cell_765,7
cell_766,2
cell_767,22
cell_768,22
cell_769,2
cell_770,7
cell_771,37
cell_772,37
cell_773,37
cell_774,2
cell_775,2
cell_776,2
cell_777,13
cell_778,10
cell_779,2
cell_780,2
cell_781,3
cell_782,7
cell_783,2
cell_784,1
cell_785,9
cell_786,15
cell_787,2
cell_788,7
cell_789,15
cell_790,26
cell_791,2
cell_792,14
cell_793,2
cell_794,7
cell_795,2
cell_796,7
cell_797,1
cell_798,24
cell_799,2
cell_800,2
cell_801,21
cell_802,28
cell_803,6
cell_804,4
cell_805,26
cell_806,3
cell_807,16
cell_808,14
cell_809,25
cell_810,8
cell_811,8
cell_812,1
cell_813,7
cell_814,16
cell_815,7
cell_816,7
cell_817,1
cell_818,4
cell_819,2
cell_820,23
cell_821,2
cell_822,25
cell_823,24
cell_824,7
cell_825,34
cell_826,8
cell_827,10
cell_828,23
cell_829,6
cell_830,2
cell_831,2
cell_832,7
cell_833,23
cell_834,33
cell_835,2
cell_836,21
cell_837,16
cell_838,14
cell_839,7
cell_840,6
cell_841,19
cell_842,9
cell_843,3
cell_844,35
cell_845,2
cell_846,26
cell_847,2
cell_848,3
cell_849,2
cell_850,21
cell_851,2
cell_852,1
cell_853,35
cell_854,3
cell_855,1
cell_856,2
cell_857,21
cell_858,27
cell_859,27
cell_860,23
cell_861,2
cell_862,18
cell_863,16
cell_864,3
cell_865,15
cell_866,2
cell_867,4
cell_868,2
cell_869,3
cell_870,7
cell_871,20
cell_872,2
cell_873,21
cell_874,2
cell_875,11
cell_876,6
cell_877,7
cell_878,2
cell_879,2
cell_880,3
cell_881,3
cell_882,26
cell_883,7
cell_884,5
cell_885,1
cell_886,4
cell_887,10
cell_888,1
cell_889,37
cell_890,2
cell_891,2
cell_892,7
cell_893,10
cell_894,3
cell_895,16
cell_896,2
cell_897,22
cell_898,15
cell_899,9
cell_900,2
cell_901,9
cell_902,19
cell_903,2
cell_904,5
cell_905,6
cell_906,2
cell_907,7
cell_908,7
cell_909,2
cell_910,5
cell_911,26
cell_912,15
cell_913,14
cell_914,8
cell_915,10
cell_916,36
cell_917,31
cell_918,9
cell_919,2
cell_920,37
cell_921,16
cell_922,2
cell_923,36
cell_924,35
cell_925,7
cell_926,21
cell_927,21
cell_928,7
cell_929,6
cell_930,19
cell_931,29
cell_932,6
cell_933,13
cell_934,8
cell_935,35
cell_936,7
cell_937,2
cell_938,2
cell_939,2
cell_940,15
cell_941,2
cell_942,25
cell_943,13
cell_944,2
cell_945,2
cell_946,7
cell_947,10
cell_948,10
cell_949,34
cell_950,10
cell_951,3
cell_952,5
cell_953,7
cell_954,23
cell_955,2
cell_956,29
cell_957,7
cell_958,2
cell_959,2
cell_960,6
cell_961,16
cell_962,15
cell_963,34
cell_964,5
cell_965,7
cell_966,10
cell_967,22
cell_968,2
cell_969,1
cell_970,2
cell_971,2
cell_972,7
cell_973,7
cell_974,7
cell_975,7
cell_976,2
cell_977,8
cell_978,25
cell_979,20
cell_980,35
cell_981,25
cell_982,2
cell_983,27
cell_984,3
cell_985,2
cell_986,3
cell_987,2
cell_988,7
cell_989,14
cell_990,1
cell_991,34
cell_992,26
cell_993,32
cell_994,4
cell_995,7
cell_996,19
cell_997,13
cell_998,2
cell_999,32
cell_1000,8
cell_1001,8
cell_1002,2
cell_1003,26
cell_1004,24
cell_1005,1
cell_1006,2
cell_1007,22
cell_1008,5
cell_1009,2
cell_1010,2
cell_1011,7
cell_1012,31
cell_1013,2
cell_1014,7
cell_1015,7
cell_1016,7
cell_1017,2
cell_1018,7
cell_1019,24
cell_1020,25
cell_1021,2
cell_1022,2
cell_1023,1
cell_1024,2
cell_1025,7
cell_1026,2
cell_1027,18
cell_1028,16
cell_1029,2
cell_1030,2
cell_1031,2
cell_1032,20
cell_1033,1
cell_1034,7
cell_1035,2
cell_1036,21
cell_1037,3
cell_1038,26
cell_1039,3
cell_1040,25
cell_1041,25
cell_1042,25
cell_1043,2
cell_1044,2
cell_1045,7
cell_1046,19
cell_1047,2
cell_1048,7
cell_1049,2
cell_1050,14
cell_1051,23
cell_1052,3
cell_1053,3
cell_1054,18
cell_1055,1
cell_1056,4
cell_1057,2
cell_1058,18
cell_1059,35
cell_1060,2
cell_1061,6
cell_1062,2
cell_1063,26
cell_1064,3
cell_1065,1
cell_1066,21
cell_1067,7
cell_1068,4
cell_1069,1
cell_1070,3
cell_1071,16
cell_1072,14
cell_1073,29
cell_1074,18
cell_1075,24
cell_1076,15
cell_1077,2
cell_1078,22
cell_1079,19
cell_1080,7
cell_1081,10
cell_1082,24
cell_1083,7
cell_1084,10
cell_1085,8
cell_1086,2
cell_1087,2
cell_1088,7
cell_1089,7
cell_1090,2
cell_1091,21
cell_1092,2
cell_1093,2
cell_1094,3
cell_1095,26
cell_1096,14
cell_1097,24
cell_1098,19
cell_1099,2
cell_1100,2
cell_1101,2
cell_1102,1
cell_1103,2
cell_1104,12
cell_1105,1
cell_1106,3
cell_1107,7
cell_1108,2
cell_1109,2
cell_1110,32
cell_1111,2
cell_1112,26
cell_1113,7
cell_1114,2
cell_1115,20
cell_1116,18
cell_1117,15
cell_1118,25
cell_1119,1
cell_1120,18
cell_1121,2
cell_1122,18
cell_1123,35
cell_1124,19
cell_1125,15
cell_1126,22
cell_1127,22
cell_1128,1
cell_1129,1
cell_1130,32
cell_1131,2
cell_1132,3
cell_1133,3
cell_1134,2
cell_1135,2
cell_1136,9
cell_1137,14
cell_1138,8
cell_1139,20
cell_1140,23
cell_1141,15
cell_1142,34
cell_1143,10
cell_1144,1
cell_1145,2
cell_1146,2
cell_1147,2
cell_1148,25
cell_1149,30
cell_1150,21
cell_1151,2
cell_1152,1
cell_1153,20
cell_1154,1
cell_1155,2
cell_1156,24
cell_1157,13
cell_1158,27
cell_1159,24
cell_1160,2
cell_1161,8
cell_1162,5
cell_1163,25
cell_1164,25
cell_1165,10
cell_1166,26
cell_1167,26
cell_1168,1
cell_1169,17
cell_1170,21
cell_1171,9
cell_1172,8
cell_1173,2
cell_1174,9
cell_1175,20
cell_1176,3
cell_1177,15
cell_1178,2
cell_1179,5
cell_1180,24
cell_1181,24
cell_1182,2
cell_1183,36
cell_1184,21
cell_1185,2
cell_1186,2
cell_1187,3
cell_1188,1
cell_1189,2
cell_1190,2
cell_1191,16
cell_1192,24
cell_1193,1
cell_1194,14
cell_1195,35
cell_1196,5
cell_1197,5
cell_1198,3
cell_1199,2
cell_1200,2
cell_1201,13
cell_1202,29
cell_1203,19
cell_1204,19
cell_1205,2
cell_1206,15
cell_1207,9
cell_1208,18
cell_1209,24
cell_1210,3
cell_1211,2
cell_1212,16
cell_1213,8
cell_1214,12
cell_1215,5
cell_1216,18
cell_1217,1
cell_1218,16
cell_1219,26
cell_1220,2
cell_1221,16
cell_1222,3
cell_1223,7
cell_1224,12
cell_1225,7
cell_1226,3
cell_1227,2
cell_1228,14
cell_1229,36
cell_1230,2
cell_1231,21
cell_1232,21
cell_1233,23
cell_1234,23
cell_1235,23
cell_1236,23
cell_1237,2
cell_1238,15
cell_1239,29
cell_1240,7
cell_1241,27
cell_1242,2
cell_1243,23
cell_1244,7
cell_1245,7
cell_1246,3
cell_1247,2
cell_1248,1
cell_1249,24
cell_1250,10
cell_1251,25
cell_1252,21
cell_1253,2
cell_1254,2
cell_1255,37
cell_1256,2
cell_1257,7
cell_1258,14
cell_1259,2
cell_1260,2
cell_1261,14
cell_1262,7
cell_1263,2
cell_1264,2
cell_1265,31
cell_1266,18
cell_1267,2
cell_1268,34
cell_1269,13
cell_1270,18
cell_1271,2
cell_1272,18
cell_1273,8
cell_1274,2
cell_1275,22
cell_1276,7
cell_1277,8
cell_1278,3
cell_1279,35
cell_1280,35
cell_1281,2
cell_1282,2
cell_1283,3
cell_1284,10
cell_1285,13
cell_1286,2
cell_1287,7
cell_1288,26
cell_1289,2
cell_1290,12
cell_1291,3
cell_1292,2
cell_1293,7
cell_1294,1
cell_1295,2
cell_1296,2
cell_1297,2
cell_1298,7
cell_1299,2
cell_1300,1
cell_1301,2
cell_1302,1
cell_1303,2
cell_1304,24
cell_1305,1
cell_1306,10
cell_1307,24
cell_1308,22
cell_1309,2
cell_1310,29
cell_1311,23
cell_1312,1
cell_1313,7
cell_1314,7
cell_1315,7
cell_1316,2
cell_1317,2
cell_1318,6
cell_1319,22
cell_1320,2
cell_1321,16
cell_1322,22
cell_1323,12
cell_1324,13
cell_1325,13
cell_1326,13
cell_1327,13
cell_1328,13
cell_1329,14
cell_1330,2
cell_1331,8
cell_1332,2
cell_1333,24
cell_1334,7
cell_1335,7
cell_1336,2
cell_1337,18
cell_1338,3
cell_1339,21
cell_1340,14
cell_1341,37
cell_1342,3
cell_1343,3
cell_1344,18
cell_1345,3
cell_1346,2
cell_1347,8
cell_1348,2
cell_1349,8
cell_1350,2
cell_1351,7
cell_1352,5
cell_1353,10
cell_1354,21
cell_1355,2
cell_1356,18
cell_1357,9
cell_1358,17
cell_1359,35
cell_1360,4
cell_1361,10
cell_1362,2
cell_1363,2
cell_1364,35
cell_1365,10
cell_1366,2
cell_1367,2
cell_1368,23
cell_1369,2
cell_1370,3
cell_1371,19
cell_1372,7
cell_1373,3
cell_1374,16
cell_1375,2
cell_1376,20
cell_1377,2
cell_1378,2
cell_1379,6
cell_1380,7
cell_1381,2
cell_1382,7
cell_1383,31
cell_1384,2
cell_1385,1
cell_1386,2
cell_1387,21
cell_1388,2
cell_1389,18
cell_1390,8
cell_1391,2
cell_1392,4
cell_1393,2
cell_1394,35
cell_1395,2
cell_1396,23
cell_1397,23
cell_1398,23
cell_1399,23
cell_1400,28
cell_1401,4
cell_1402,3
cell_1403,3
cell_1404,2
cell_1405,3
cell_1406,2
cell_1407,25
cell_1408,8
cell_1409,2
cell_1410,25
cell_1411,3
cell_1412,7
cell_1413,6
cell_1414,25
cell_1415,22
cell_1416,6
cell_1417,7
cell_1418,3
cell_1419,26
cell_1420,14
cell_1421,2
cell_1422,2
cell_1423,19
cell_1424,2
cell_1425,2
cell_1426,24
cell_1427,6
cell_1428,22
cell_1429,24
cell_1430,22
cell_1431,3
cell_1432,3
cell_1433,2
cell_1434,7
cell_1435,2
cell_1436,7
cell_1437,7
cell_1438,7
cell_1439,7
cell_1440,2
cell_1441,2
cell_1442,31
cell_1443,31
cell_1444,31
cell_1445,31
cell_1446,37
cell_1447,3
cell_1448,2
cell_1449,7
cell_1450,2
cell_1451,2
cell_1452,8
cell_1453,7
cell_1454,7
cell_1455,2
cell_1456,2
cell_1457,20
cell_1458,7
cell_1459,2
cell_1460,2
cell_1461,7
cell_1462,7
cell_1463,21
cell_1464,21
cell_1465,7
cell_1466,25
cell_1467,1
cell_1468,2
cell_1469,16
cell_1470,3
cell_1471,2
cell_1472,4
cell_1473,2
cell_1474,11
cell_1475,19
cell_1476,16
cell_1477,14
cell_1478,3
cell_1479,4
cell_1480,3
cell_1481,2
cell_1482,2
cell_1483,13
cell_1484,25
cell_1485,7
cell_1486,2
cell_1487,5
cell_1488,29
cell_1489,37
cell_1490,2
cell_1491,2
cell_1492,7
cell_1493,2
cell_1494,23
cell_1495,35
cell_1496,1
cell_1497,8
cell_1498,2
cell_1499,29
cell_1500,13
cell_1501,2
cell_1502,2
cell_1503,36
cell_1504,2
cell_1505,3
cell_1506,7
cell_1507,2
cell_1508,3
cell_1509,31
cell_1510,3
cell_1511,5
cell_1512,2
cell_1513,21
cell_1514,2
cell_1515,1
cell_1516,26
cell_1517,27
cell_1518,20
cell_1519,2
cell_1520,2
cell_1521,2
cell_1522,2
cell_1523,7
cell_1524,4
cell_1525,16
cell_1526,2
cell_1527,1
cell_1528,19
cell_1529,4
cell_1530,10
cell_1531,2
cell_1532,2
cell_1533,1
cell_1534,3
cell_1535,7
cell_1536,3
cell_1537,2
cell_1538,14
cell_1539,13
cell_1540,14
cell_1541,3
cell_1542,7
cell_1543,2
cell_1544,10
cell_1545,2
cell_1546,2
cell_1547,10
cell_1548,2
cell_1549,8
cell_1550,7
cell_1551,33
cell_1552,7
cell_1553,7
cell_1554,25
cell_1555,1
cell_1556,7
cell_1557,14
cell_1558,3
cell_1559,2
cell_1560,26
cell_1561,35
cell_1562,2
cell_1563,5
cell_1564,34
cell_1565,2
cell_1566,18
cell_1567,20
cell_1568,16
cell_1569,2
cell_1570,25
cell_1571,10
cell_1572,24
cell_1573,21
cell_1574,21
cell_1575,21
cell_1576,21
cell_1577,21
cell_1578,21
cell_1579,3
cell_1580,3
cell_1581,2
cell_1582,2
cell_1583,26
cell_1584,2
cell_1585,2
cell_1586,7
cell_1587,3
cell_1588,10
cell_1589,29
cell_1590,27
cell_1591,36
cell_1592,9
cell_1593,19
cell_1594,3
cell_1595,24
cell_1596,8
cell_1597,1
cell_1598,7
cell_1599,2
cell_1600,15
cell_1601,5
cell_1602,2
cell_1603,8
cell_1604,8
cell_1605,8
cell_1606,8
cell_1607,9
cell_1608,9
cell_1609,18
cell_1610,2
cell_1611,18
cell_1612,37
cell_1613,2
cell_1614,10
cell_1615,19
cell_1616,8
cell_1617,25
cell_1618,2
cell_1619,14
cell_1620,3
cell_1621,2
cell_1622,36
cell_1623,14
cell_1624,2
cell_1625,18
cell_1626,7
cell_1627,2
cell_1628,7
cell_1629,9
cell_1630,34
cell_1631,2
cell_1632,2
cell_1633,31
cell_1634,3
cell_1635,4
cell_1636,7
cell_1637,7
cell_1638,7
cell_1639,7
cell_1640,3
cell_1641,12
cell_1642,2
cell_1643,2
cell_1644,2
cell_1645,2
cell_1646,2
cell_1647,10
cell_1648,9
cell_1649,1
cell_1650,2
cell_1651,27
cell_1652,2
cell_1653,2
cell_1654,18
cell_1655,22
cell_1656,2
cell_1657,22
cell_1658,26
cell_1659,2
cell_1660,2
cell_1661,16
cell_1662,2
cell_1663,7
cell_1664,25
cell_1665,19
cell_1666,7
cell_1667,2
cell_1668,30
cell_1669,12
cell_1670,2
cell_1671,18
cell_1672,27
cell_1673,7
cell_1674,2
cell_1675,7
cell_1676,2
cell_1677,9
cell_1678,10
cell_1679,2
cell_1680,25
cell_1681,2
cell_1682,1
cell_1683,15
cell_1684,1
cell_1685,19
cell_1686,22
cell_1687,14
cell_1688,4
cell_1689,4
cell_1690,4
cell_1691,24
cell_1692,1
cell_1693,28
cell_1694,13
cell_1695,3
cell_1696,19
cell_1697,2
cell_1698,6
cell_1699,2
cell_1700,23
cell_1701,3
cell_1702,19
cell_1703,14
cell_1704,20
cell_1705,1
cell_1706,29
cell_1707,16
cell_1708,20
cell_1709,2
cell_1710,3
cell_1711,7
cell_1712,2
cell_1713,6
cell_1714,35
cell_1715,21
cell_1716,21
cell_1717,21
cell_1718,21
cell_1719,7
cell_1720,7
cell_1721,7
cell_1722,2
cell_1723,31
cell_1724,2
cell_1725,7
cell_1726,1
cell_1727,1
cell_1728,7
cell_1729,10
cell_1730,3
cell_1731,16
cell_1732,4
cell_1733,2
cell_1734,7
cell_1735,3
cell_1736,7
cell_1737,2
cell_1738,1
cell_1739,5
cell_1740,18
cell_1741,2
cell_1742,32
cell_1743,19
cell_1744,20
cell_1745,7
cell_1746,2
cell_1747,14
cell_1748,2
cell_1749,2
cell_1750,2
cell_1751,9
cell_1752,2
cell_1753,3
cell_1754,2
cell_1755,7
cell_1756,2
cell_1757,3
cell_1758,25
cell_1759,3
cell_1760,2
cell_1761,5
cell_1762,2
cell_1763,21
cell_1764,6
cell_1765,2
cell_1766,1
cell_1767,25
cell_1768,2
cell_1769,2
cell_1770,7
cell_1771,2
cell_1772,2
cell_1773,2
cell_1774,23
cell_1775,35
cell_1776,7
cell_1777,8
cell_1778,7
cell_1779,22
cell_1780,2
cell_1781,2
cell_1782,12
cell_1783,24
cell_1784,7
cell_1785,7
cell_1786,2
cell_1787,2
cell_1788,3
cell_1789,2
cell_1790,23
cell_1791,2
cell_1792,2
cell_1793,1
cell_1794,2
cell_1795,10
cell_1796,7
cell_1797,2
cell_1798,7
cell_1799,4
cell_1800,2
cell_1801,2
cell_1802,2
cell_1803,14
cell_1804,2
cell_1805,20
cell_1806,6
cell_1807,2
cell_1808,2
cell_1809,7
cell_1810,3
cell_1811,4
cell_1812,2
cell_1813,25
cell_1814,16
cell_1815,16
cell_1816,2
cell_1817,7
cell_1818,7
cell_1819,24
cell_1820,2
cell_1821,7
cell_1822,14
cell_1823,26
cell_1824,2
cell_1825,24
cell_1826,2
cell_1827,3
cell_1828,2
cell_1829,2
cell_1830,2
cell_1831,8
cell_1832,7
cell_1833,22
cell_1834,2
cell_1835,29
cell_1836,3
cell_1837,1
cell_1838,10
cell_1839,1
cell_1840,2
cell_1841,20
cell_1842,2
cell_1843,22
cell_1844,2
cell_1845,36
cell_1846,9
cell_1847,2
cell_1848,10
cell_1849,10
cell_1850,8
cell_1851,8
cell_1852,8
cell_1853,10
cell_1854,10
cell_1855,3
cell_1856,10
cell_1857,14
cell_1858,10
cell_1859,7
cell_1860,25
cell_1861,14
cell_1862,24
cell_1863,26
cell_1864,35
cell_1865,7
cell_1866,22
cell_1867,2
cell_1868,18
cell_1869,2
cell_1870,31
cell_1871,2
